Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,402653184,275012124672,683,3.07042,122.133,89568.2
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,402653184,275012124672,683,2.95165,127.048,93172.4
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1073741824,550024249344,512,6.17127,162.041,89126.6
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1073741824,550024249344,512,6.10769,163.728,90054.4
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1073741824,550024249344,512,6.42534,155.634,85602.3
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1073741824,550024249344,512,6.04824,165.337,90939.6
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,805306368,550024249344,683,6.03228,124.331,91180.1
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,805306368,550024249344,683,5.98896,125.231,91839.8
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,805306368,550024249344,683,6.18041,121.351,88994.7
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,805306368,550024249344,683,5.9345,126.38,92682.5
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100048498688,512,12.2988,162.618,89443.9
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100048498688,512,12.1789,164.219,90324.5
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100048498688,512,12.8098,156.13,85875.3
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2147483648,1100048498688,512,12.0974,165.325,90933
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,1100048498688,683,12.067,124.306,91161.6
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,1100048498688,683,11.896,126.093,92472
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,1100048498688,683,12.3713,121.249,88919.5
7,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,64,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1610612736,1100048498688,683,11.8259,126.84,93020
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4294967296,2200096997376,512,24.6447,162.307,89272.5
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4294967296,2200096997376,512,24.5089,163.206,89767.1
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4294967296,2200096997376,512,25.7104,155.579,85572.4
8,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4294967296,2200096997376,512,24.2344,165.055,90784
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,2200096997376,683,24.196,123.987,90928
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,2200096997376,683,23.9475,125.274,91871.7
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,2200096997376,683,24.7984,120.975,88719.2
8,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,3221225472,2200096997376,683,23.731,126.417,92709.8
