Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
73,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,128,32,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,16704,16384,0,0.00955392,1.62832,1.7149
73,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,128,32,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,8512,16384,1,0.0107213,0.73941,1.52818
74,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,256,32,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33344,32768,0,0.00954368,3.25388,3.43348
74,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,256,32,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,16960,32768,1,0.0108237,1.45932,3.02744
75,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,512,32,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,66624,65536,0,0.00955392,6.49455,6.85959
75,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,512,32,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33856,65536,1,0.0108851,2.89669,6.0207
76,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,32,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,133184,131072,0,0.00956416,12.969,13.7045
76,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,32,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67648,131072,1,0.0108339,5.81526,12.0983
77,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,32,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,266304,262144,0,0.00958464,25.8763,27.3504
77,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,32,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,135232,262144,1,0.0107827,11.6802,24.3115
